AppDocID	ApplNo	SeqNo	DocType	DocTitle	DocURL	DocDate	ActionType	DuplicateCounter
1	011961	017	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/11961ltr.pdf	1998-08-18 00:00:00	AP	0
2	011961	017	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/11961-s017.cfm	1998-12-14 00:00:00	AP	0
3	011961	017	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/11961lbl.pdf	1998-08-18 00:00:00	AP	0
4	019781	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/19781ltr.pdf	1998-05-14 00:00:00	AP	0
5	019781	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/19781.cfm	1998-05-14 00:00:00	AP	0
6	019781	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/19781lbl.pdf	1998-05-14 00:00:00	AP	0
7	089886	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/89884ltr.pdf	1998-10-30 00:00:00	AP	0
8	089885	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/89884ltr.pdf	1998-10-30 00:00:00	AP	0
9	089884	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/89884ltr.pdf	1998-10-30 00:00:00	AP	0
10	019832	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/1998/19832ltr.pdf	1998-06-05 00:00:00	AP	0
11	019832	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/19832.cfm	1999-01-06 00:00:00	AP	0
12	019832	000	Label		http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/19832lbl.pdf	1998-06-05 00:00:00	AP	0
13	012342	037	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
14	012342	039	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
15	073249	000	Review		http://www.accessdata.fda.gov/drugsatfda_docs/anda/98/73249ap.pdf	1998-02-13 00:00:00	AP	0
16	012342	040	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12342S51LTR.PDF	2001-03-15 00:00:00	AP	0
17	020010	000	Letter		http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2000/20010ltr.pdf	2000-12-08 00:00:00	AP	0
