ApplNo	ApplType	SponsorApplicant	MostRecentLabelAvailableFlag	CurrentPatentFlag	ActionType	Chemical_Type	Ther_Potential	Orphan_Code
02196	N	PFIZER	False	False	AP			
000004	N	PHARMICS	False	False	AP			
000159	N	LILLY	False	False	AP			
000552	N	ORGANON USA INC	False	False	AP			
000734	N	LILLY	False	False	AP			
000793	N	MEDA PHARMS	False	False	AP			
001104	N	ORGANON USA INC	False	False	AP			
001546	N	SCHERING	False	False	AP			
002139	N	LILLY	False	False	AP			
002245	N	PARKE DAVIS	False	False	AP			
002282	N	ISO TEX	False	False	AP	4	S	
002386	N	GD SEARLE LLC	False	False	AP	5	S	
002918	N	POYTHRESS	False	False	AP			
003158	N	SCHERING	False	False	AP			
003240	N	NOVARTIS	False	False	AP			
003402	N	PARKE DAVIS	False	False	AP			
003444	N	SANOFI AVENTIS US	False	False	AP			
003718	N	ROCHE	False	False	AP			
003977	N	PARKEDALE	False	False	AP			
004039	N	LILLY	False	False	AP			
004040	N	LILLY	False	False	AP			
004041	N	LILLY	False	False	AP			
004054	N	LEDERLE	False	False	AP			
004056	N	BRISTOL MYERS SQUIBB	False	False	AP			
004122	N	LILLY	False	False	AP	5	S	
004125	N	ABBOTT	False	False	AP			
004570	N	PHARMACIA AND UPJOHN	False	False	AP			
004589	N	B BRAUN	False	False	AP			
004782	N	WYETH PHARMS INC	False	False	AP	1	S	
005010	N	SANOFI AVENTIS US	False	False	AP	1	S	
005151	N	NOVARTIS	False	False	AP			
005213	N	ENDO PHARMS	False	False	AP	1	S	
005264	N	HOSPIRA	False	False	AP	5	S	
005292	N	SCHERING	False	False	AP			
005319	N	ALCON	False	False	AP			
005378	N	LUNDBECK INC	False	False	AP			
005490	N	ORGANON USA INC	False	False	AP			
005509	N	LILLY	False	False	AP			
005521	N	LILLY	False	False	AP			
005545	N	ABBOTT	False	False	AP			
005619	N	MERCK	False	False	AP			
005620	N	MERCK	False	False	AP			
005657	N	BRISTOL MYERS SQUIBB	False	False	AP	1	P	
005691	N	MEDPOINTE PHARM HLC	False	False	AP			
005725	N	LILLY	False	False	AP			
005794	N	ORTHO MCNEIL PHARM	False	False	AP			
005795	N	SHIRE	False	False	AP	3	S	
005845	N	MCNEIL CONS	False	False	AP	1	S	
005856	N	ABBOTT	False	False	AP			
005897	N	WYETH PHARMS INC	False	False	AP			
005914	N	NOVARTIS	False	False	AP	1	S	
005929	N	VALEANT	False	False	AP			
005932	N	ABBOTT	False	False	AP	5	S	
005939	N	AKORN	False	False	AP			
005963	N	SCHERING	False	False	AP			
005970	N	ELKINS SINN	False	False	AP	1	P	V
006002	N	SANOFI AVENTIS US	False	False	AP			
006008	N	NOVARTIS	False	False	AP			
006012	N	LEDERLE	False	False	AP			
006035	N	NOVARTIS	False	False	AP			
006044	N	ABBOTT	False	False	AP			
006071	N	ROCHE	False	False	AP			
006095	N	HOSPIRA	False	False	AP	5	S	
006110	N	ORTHO MCNEIL PHARM	False	False	AP			
006134	N	ROXANE	False	False	AP			
006135	N	LILLY	False	False	AP			
006146	N	MCNEIL CONS	False	False	AP	3	S	
006170	N	B BRAUN	False	False	AP	5	S	
006188	N	DAVA PHARMS INC	False	False	AP			
006203	N	NOVARTIS	False	False	AP	1	P	
006213	N	LILLY	False	False	AP			
006270	N	ARBROOK	False	False	AP			
